-245,243,-1005,2773,-682,-1146,3248,-358,-110,-1983,-2038,-156,-1140,1994,-2615,88
-293,75,-1293,2907,-739,-1152,2892,-399,-152,-2034,-2151,-145,-1080,923,-2881,103
-311,-354,-1318,2977,-793,-1246,2767,-203,-115,-2006,-2306,-54,-1044,-1140,-2977,133
-380,118,-1768,3046,-797,-1255,2549,-282,-133,-1936,-2496,-69,-1169,-3307,-3086,124
-400,203,-1531,3120,-671,-1180,2134,-373,-90,-1827,-2864,-179,-1063,-4417,-2573,143
-343,224,-1191,3058,-609,-1193,2047,-198,-100,-1772,-2713,-162,-1010,-4240,-1155,158
-274,246,-714,3031,-782,-1093,2324,-26,-129,-1804,-2138,-64,-1033,-3365,-1453,214
-319,326,-565,2950,-716,-1067,2413,165,-76,-1766,-2321,-88,-978,-1819,-3582,275
-554,30,-1097,2394,-1203,-1531,1913,-269,-354,-2277,-2898,-603,-1406,-1384,-4057,-239
-416,-26,-778,2873,-769,-1221,2234,184,-241,-1927,-2419,-160,-1108,-790,-3216,3
-354,318,-769,2839,-778,-1176,2241,226,-222,-1893,-2198,-258,-1018,-620,-2990,1
-440,-11,-622,2820,-735,-1199,2349,152,-127,-1987,-2409,-213,-1012,-546,-3009,-37
-458,-580,-422,2882,-577,-1089,2437,135,-142,-1821,-2368,-124,-1095,-477,-2954,-3
-422,-90,-456,2897,-597,-1016,2426,169,-176,-1898,-2396,-192,-1022,-507,-3073,220
-446,11,-411,2822,-563,-1114,855,160,-174,-1981,-2594,-149,-948,-296,-2536,201
-469,-32,-335,2971,-524,-1123,-4121,79,-130,-2030,-2651,-139,-976,-17,-1512,171
-459,75,-586,3033,-465,-1146,-5726,-86,-172,-2079,-2492,-181,-1129,399,-1559,288
-393,54,-522,2945,-537,-1046,-1129,-216,-132,-2321,-2375,-75,-1027,780,-901,388
-522,-369,-814,2635,-1003,-1395,5292,-601,-312,-2624,-2758,-548,-1384,9,71,-147
-433,0,-539,2739,-580,-950,13522,-128,-188,-2023,-2151,-260,-1012,88,-1529,341
-407,-28,-690,2775,-667,-918,11345,-228,-155,-2019,-2136,-256,-1061,-348,-2121,258
-414,128,-697,2786,-641,-954,4536,-286,-108,-2002,-2117,-143,-1031,-914,716,-11
-402,56,-652,2803,-599,-1010,3931,-239,-87,-1989,-2051,-209,-1076,-1078,654,114
-395,-13,-533,2920,-592,-1050,3305,69,-134,-2149,-2040,-147,-1155,-1042,-1346,111
-383,86,-516,2777,-603,-1016,2413,103,-188,-2292,-2117,-71,-1067,-778,-2198,194
-379,5,-467,2820,-605,-1063,1538,16,-162,-2228,-2279,-126,-1005,-264,-2700,65
-414,54,-520,2969,-629,-1099,1478,-77,-82,-2115,-2402,-124,-980,-96,-2817,103
-485,86,-577,2830,-616,-986,1813,-118,-63,-2123,-2345,-154,-959,18,-3311,169
-711,-137,-903,2443,-995,-1408,1832,-490,-339,-2551,-2581,-595,-1438,-494,-3906,-424
-524,77,-626,2686,-699,-1161,1911,52,-159,-1949,-2202,-258,-1071,-192,-3443,-54
-395,86,-609,2745,-699,-1159,1757,-137,-65,-1881,-1921,-262,-1133,-961,-3407,37
-395,150,-529,2686,-678,-1180,2090,-186,-55,-1700,-1844,-181,-1080,-1529,-3369,20
-460,-94,-550,2752,-539,-1106,2268,-96,-148,-1744,-2524,-171,-1025,-1114,-2049,69
-421,-286,-541,2760,-550,-1099,2503,-15,-37,-2023,-2924,-118,-995,-722,844,114
-354,-235,-543,2684,-686,-1184,2345,20,-15,-1793,-2656,-156,-1071,-637,1199,97
-314,-54,-505,2852,-558,-1178,2058,-39,-94,-1755,-2594,-47,-995,-731,-471,52
-352,116,-577,2875,-635,-1146,1960,-24,-130,-1921,-2485,-52,-1050,-803,-1693,39
-339,128,-599,2826,-629,-1123,2038,-58,-86,-1919,-2321,-86,-1067,-797,-2628,229
-559,-284,-1029,2511,-959,-1470,1600,-548,-397,-2296,-2658,-482,-1448,-1293,-2943,-171
-415,194,-667,2673,-739,-1120,1825,-173,-193,-1987,-2434,-107,-1133,-727,-2560,73
-378,382,-661,2701,-695,-1197,1968,-139,-230,-1874,-2240,-145,-1042,-516,-2470,97
-378,209,-605,2852,-678,-1069,2138,-47,-236,-1851,-2424,-135,-1016,-501,-2015,90
-399,222,-558,2813,-624,-1027,2458,-103,-188,-1904,-2285,-211,-1155,-437,-1491,67
-375,339,-563,2833,-560,-1176,2539,-211,-180,-1827,-2247,-171,-1131,-360,-988,-171
-374,284,-607,2952,-573,-1106,2070,-186,-128,-1938,-2266,-254,-1108,-688,-1955,-247
-422,354,-643,3031,-560,-1014,2145,-160,-127,-1872,-2185,-209,-1054,-1197,-3865,-88
-414,297,-720,2884,-514,-1112,2319,37,-147,-1923,-2160,-260,-1106,-1061,-3497,-11
-372,341,-682,2960,-612,-1108,2432,346,-180,-1906,-2194,-143,-993,-652,-1740,13
-588,-113,-1076,2556,-1031,-1540,2021,-126,-361,-2347,-2596,-580,-1384,-946,-1227,-305
-411,60,-761,2722,-729,-1089,2368,79,-207,-2164,-2341,-333,-1050,-277,-1821,209
-429,33,-682,2767,-618,-1003,2403,37,-258,-2076,-2347,-203,-1029,290,-3020,412
-394,11,-641,2856,-663,-1084,2034,-32,-205,-1936,-2351,-194,-1037,258,-3322,520
-375,67,-595,2865,-782,-1089,1664,-60,-187,-1893,-2358,-288,-1046,-533,-3320,507
-374,24,-605,2796,-803,-1189,1438,-226,-144,-1921,-2438,-201,-1089,-1169,-2994,358
-400,18,-654,2818,-805,-1040,1472,-394,-203,-1855,-2243,-275,-1035,-933,-2562,286
-391,65,-624,2907,-810,-1108,2098,-354,-227,-1836,-2264,-175,-965,-560,-2617,192
-386,88,-414,2845,-835,-1118,3167,-288,-205,-1983,-2217,-160,-1010,-1287,-2264,143
-367,43,-484,2824,-769,-1157,3895,-190,-249,-1968,-2230,-201,-914,-1310,-2209,197
-498,-264,-939,2409,-1110,-1491,3518,-428,-454,-2309,-2696,-520,-1406,-2045,-2632,-324
-416,-113,-820,2756,-765,-1159,4134,-137,-217,-2002,-2347,-254,-1061,-1955,-2013,143
-354,-20,-942,2873,-839,-1082,3550,-90,-178,-2081,-2306,-237,-1076,-2104,-1582,79
-344,107,-682,2992,-748,-961,3133,-149,-205,-2106,-2215,-224,-1089,-1962,-786,-32
-304,282,-648,2950,-697,-1020,2939,-11,-115,-2115,-2311,-135,-1059,-886,292,26
-317,363,-682,2931,-739,-1057,2684,-5,-110,-2000,-2387,-128,-1054,-714,-132,77
-318,412,-607,2980,-554,-1110,2592,-130,-179,-2019,-2232,-201,-1054,-473,-980,109
-285,441,-437,2948,-546,-1103,2385,-39,-102,-2002,-2213,-120,-1018,-250,-2040,167
-314,218,-341,3007,-622,-1005,2253,1,-88,-1942,-2306,-130,-1008,-113,-3484,263
-308,326,-360,2973,-667,-1008,2194,18,-132,-1889,-2283,-30,-952,-262,-3978,203
-571,7,-856,2628,-1074,-1521,1642,-403,-385,-2321,-2811,-486,-1382,-950,-4689,-196
-427,237,-1110,2922,-865,-1123,1082,-98,-200,-1970,-2466,-194,-1071,-769,-3874,118
-364,-54,-1329,2865,-844,-1050,576,-167,-211,-1959,-2398,-211,-1078,-882,-2413,209
-343,-35,-1022,2933,-790,-1131,1217,-162,-208,-1832,-2443,-128,-1067,-769,-1095,126
-358,295,-795,2835,-827,-1184,2681,-164,-126,-1932,-2338,-111,-1052,-560,109,3
-379,211,-431,2922,-671,-1146,4334,-124,-102,-1972,-2334,-124,-1063,-518,1261,-39
-342,-30,-571,2856,-671,-1065,4236,-37,-162,-1987,-2275,-154,-1086,-462,769,-162
-367,-60,-675,2980,-631,-1103,2688,-71,-127,-1938,-2296,-28,-1003,-373,-1336,26
-388,-7,-656,2937,-663,-1184,2562,-35,-81,-2004,-2326,-77,-1054,-409,-3214,97
-425,-43,-616,2833,-546,-1186,1953,-77,-101,-1851,-2289,-39,-1014,-529,-2764,145
-665,-497,-1082,2500,-978,-1555,490,-437,-351,-2268,-2743,-511,-1617,-988,-2328,-311
-499,-43,-720,2935,-712,-1157,1234,-120,-113,-1974,-2413,-103,-1067,-573,-1570,41
-454,158,-633,2758,-609,-1120,2192,-126,-109,-1970,-2279,-258,-1061,-539,-1776,214
-398,39,-718,2713,-658,-1120,4163,-122,-104,-2021,-2317,-101,-1086,-597,-2010,331
-386,-126,-588,2764,-637,-1097,6467,5,-147,-2000,-2243,-73,-980,-552,-2179,267
-392,-64,-661,2716,-597,-1074,4766,69,-69,-2025,-2206,-81,-925,-486,-2451,292
-382,3,-573,2850,-614,-1040,2726,-75,-60,-2010,-2338,-111,-978,-539,-2649,182
-359,-45,-422,2901,-688,-1020,2879,22,-6,-1968,-2298,-164,-967,-673,-2967,128
-432,-62,-518,2986,-575,-1003,2515,58,-64,-1949,-2309,-88,-1129,-573,-3018,203
-399,11,-580,2926,-665,-982,2324,-69,-98,-1991,-2341,-156,-1033,-646,-2741,145
-583,-299,-925,2458,-1037,-1427,1849,-416,-270,-2413,-2762,-573,-1440,-1093,-2504,-339
-490,182,-622,2711,-761,-1165,2192,-64,-129,-2049,-2334,-269,-1091,-656,-213,56
-475,-7,-618,2779,-678,-1046,2258,-88,-100,-2030,-2345,-258,-1231,-680,-124,60
-416,-184,-663,2767,-571,-1086,2175,30,-136,-1987,-2245,-164,-1089,-675,-3220,48
-495,82,-622,2877,-652,-1101,2307,45,-169,-2015,-2421,-135,-1071,-686,-4408,92
-494,220,-560,3001,-669,-1048,2398,-88,-99,-1996,-2366,-160,-1129,-682,-3492,41
-440,177,-650,2931,-678,-1031,2177,-22,-137,-1993,-2232,-158,-974,-752,-2507,120
-359,175,-571,2894,-663,-1114,1702,7,-143,-2010,-2385,-122,-1082,-744,-1776,94
-378,194,-488,2924,-622,-1020,1596,-94,-122,-1874,-2345,-109,-1018,-805,-2185,71
-377,265,-514,2873,-580,-1101,1943,35,-120,-1868,-2226,-105,-1040,-699,-2004,120
-601,-320,-961,2458,-1018,-1553,1410,-373,-397,-2492,-2632,-511,-1419,-1048,-2560,-467
-458,-9,-650,2871,-716,-1146,2354,50,-189,-2104,-2260,-196,-1120,-829,-3735,-77
-462,171,-612,2711,-690,-1084,2745,207,-188,-2121,-2283,-203,-1148,-861,-3629,-45
-405,305,-590,2688,-624,-1071,2830,201,-218,-1902,-2294,-258,-927,-765,-2677,62
-306,269,-460,2724,-603,-1123,2833,148,-226,-2019,-2277,-313,-1103,-690,-1749,192
-344,518,-467,2813,-546,-1161,2588,182,-211,-2066,-2228,-277,-1080,-750,20,246
-436,454,-582,2833,-618,-1106,972,-143,-230,-1917,-2119,-211,-986,-746,2026,239
